1,l
5,t
4,s
3,s
5,t
5,s
2,t
4,m
5,s
4,s
4,l
4,n
4,s
4,t
4,s
3,s
6,s
4,c
5,t
5,m
7,s
4,s
8,s
4,m
6,t
5,n
5,t
4,t
4,t
6,t
4,t
4,t
4,c
4,t
5,r
5,m
4,r
5,r
6,t
4,t
3,r
4,s
3,n
5,s
3,t
7,t
4,t
5,s
3,s
5,t
4,n
5,n
5,s
3,s
4,s
5,s
4,r
3,t
4,r
4,r
6,t
4,r
5,t
4,t
5,s
3,t
5,t
3,t
4,t
4,s
3,t
6,s
7,s
5,n
3,l
4,n
4,d
6,n
5,s
5,c
3,s
5,s
6,m
3,t
1,l
4,r
3,d
4,s
3,s
5,t
3,r
4,r
4,t
5,t
9,s
4,l
4,t
5,s
6,s
5,n
6,s
4,r
4,n
5,s
4,s
4,n
5,n
4,t
3,n
4,n
5,n
5,m
4,t
4,s
4,r
5,n
4,r
5,t
4,t
4,t
5,s
4,m
5,t
6,t
4,t
4,s
4,s
3,t
5,t
3,s
4,n
4,s
5,n
6,s
5,l
4,n
5,s
3,r
4,t
7,s
4,s
4,s
3,s
5,s
4,s
5,s
4,n
5,l
4,l
4,t
4,s
5,s
6,m
3,t
5,t
4,t
2,s
3,t
1,l
4,m
5,n
4,s
4,r
5,s
4,s
3,t
5,t
4,s
5,m
4,l
3,s
3,t
3,t
8,s
3,t
3,s
3,t
3,r
6,t
5,n
5,m
4,s
4,s
5,t
5,t
5,r
6,s
4,r
4,t
3,c
3,n
4,t
3,t
4,t
4,n
3,n
4,t
4,s
4,n
4,t
6,r
4,d
3,d
4,s
5,s
4,d
5,s
4,m
4,t
4,s
4,n
4,n
7,s
4,d
6,n
8,n
3,n
4,t
3,p
5,l
4,p
4,s
5,l
5,t
5,s
5,n
5,n
4,s
4,r
5,m
5,t
4,r
5,n
5,s
5,l
2,t
4,l
5,l
7,s
4,r
6,s
4,s
5,s
4,t
4,t
4,t
5,t
5,l
4,m
4,t
3,t
3,t
4,r
4,r
3,t
3,t
4,s
5,s
3,r
4,r
6,s
6,s
4,s
4,t
4,r
4,s
6,n
5,t
5,t
4,t
1,l
4,s
4,n
7,s
4,m
4,r
5,r
4,t
4,r
4,t
3,t
3,t
4,n
5,s
5,r
3,t
4,s
5,t
4,l
5,s
4,t
4,t
5,n
4,n
3,t
4,m
4,t
4,t
4,l
4,s
3,s
4,s
5,t
3,n
7,t
4,t
6,t
4,t
4,t
4,t
5,n
4,t
3,s
5,s
3,t
7,s
5,s
3,r
4,r
5,m
5,n
5,r
4,t
4,t
7,t
5,n
4,t
5,l
4,c
4,c
5,r
4,t
5,r
